Type,Value,Type,Value
Data Source,Orbital_cold_case_7_12_25_chained_3 : TMD : ACUBESAT_7_12_25_ORBITAL,Data Source,Orbital_cold_case_7_12_25_chained_4 : TMD : ACUBESAT_7_12_25_ORBITAL
Element,H001_powerApplied,Element,H001_powerApplied
,,,
,,,
Time[s],Value,Time[s],Value
140200.0,0.9999993000000004,140200.0,0.828
140400.0,0.0,140400.0,0.828
140600.0,0.0,140600.0,0.828
140800.0,0.0,140800.0,0.828
141000.0,0.0,141000.0,0.828
141200.0,0.0,141200.0,0.828
141400.0,0.0,141400.0,0.0
141600.0,0.0,141600.0,0.0
141800.0,0.0,141800.0,0.0
142000.0,0.0,142000.0,0.0
142200.0,0.0,142200.0,0.0
142400.0,0.0,142400.0,0.0
142600.0,0.0,142600.0,0.0
142800.0,0.0,142800.0,0.0
143000.0,0.0,143000.0,0.0
143200.0,0.0,143200.0,0.0
143400.0,0.0,143400.0,0.0
143600.0,0.0,143600.0,0.0
143800.0,0.0,143800.0,0.0
144000.0,0.0,144000.0,0.828
144200.0,0.0,144200.0,0.828
144400.0,0.0,144400.0,0.828
144600.0,0.0,144600.0,0.828
144800.0,0.0,144800.0,0.828
145000.0,0.0,145000.0,0.828
145200.0,0.0,145200.0,0.828
145400.0,0.0,145400.0,0.828
145600.0,0.0,145600.0,0.828
145800.0,0.9999993000000004,145800.0,0.828
146000.0,0.0,146000.0,0.828
146200.0,0.0,146200.0,0.828
146400.0,0.0,146400.0,0.828
146600.0,0.0,146600.0,0.828
146800.0,0.0,146800.0,0.828
147000.0,0.0,147000.0,0.828
147200.0,0.0,147200.0,0.828
147400.0,0.9999993000000004,147400.0,0.828
147600.0,0.0,147600.0,0.0
147800.0,0.0,147800.0,0.0
148000.0,0.0,148000.0,0.0
148200.0,0.0,148200.0,0.0
148400.0,0.0,148400.0,0.0
148600.0,0.0,148600.0,0.0
148800.0,0.0,148800.0,0.0
149000.0,0.0,149000.0,0.0
149200.0,0.0,149200.0,0.0
149400.0,0.0,149400.0,0.0
149600.0,0.0,149600.0,0.0
149800.0,0.0,149800.0,0.0
150000.0,0.0,150000.0,0.0
150200.0,0.0,150200.0,0.0
150400.0,0.0,150400.0,0.828
150600.0,0.0,150600.0,0.828
150800.0,0.0,150800.0,0.828
151000.0,0.0,151000.0,0.828
151200.0,0.0,151200.0,0.828
151400.0,0.0,151400.0,0.828
151600.0,0.0,151600.0,0.828
151800.0,0.0,151800.0,0.828
152000.0,0.0,152000.0,0.828
152200.0,0.0,152200.0,0.828
152400.0,0.0,152400.0,0.828
152600.0,0.0,152600.0,0.828
152800.0,0.0,152800.0,0.828
153000.0,0.0,153000.0,0.828
153200.0,0.9999993000000004,153200.0,0.828
153400.0,0.0,153400.0,0.828
153600.0,0.0,153600.0,0.828
153800.0,0.0,153800.0,0.828
154000.0,0.0,154000.0,0.828
154200.0,0.0,154200.0,0.0
154400.0,0.0,154400.0,0.0
154600.0,0.0,154600.0,0.0
154800.0,0.0,154800.0,0.0
155000.0,0.0,155000.0,0.0
155200.0,0.0,155200.0,0.0
155400.0,0.0,155400.0,0.0
155600.0,0.0,155600.0,0.0
155800.0,0.0,155800.0,0.0
156000.0,0.0,156000.0,0.0
156200.0,0.0,156200.0,0.0
156400.0,0.0,156400.0,0.0
156600.0,0.0,156600.0,0.0
156800.0,0.0,156800.0,0.0
157000.0,0.0,157000.0,0.828
157200.0,0.9999993000000004,157200.0,0.828
157400.0,0.0,157400.0,0.828
157600.0,0.0,157600.0,0.828
157800.0,0.0,157800.0,0.828
158000.0,0.0,158000.0,0.828
158200.0,0.0,158200.0,0.828
158400.0,0.0,158400.0,0.828
158600.0,0.0,158600.0,0.828
158800.0,0.9999993000000004,158800.0,0.828
159000.0,0.0,159000.0,0.828
159200.0,0.0,159200.0,0.828
159400.0,0.0,159400.0,0.828
159600.0,0.0,159600.0,0.828
159800.0,0.0,159800.0,0.828
160000.0,0.0,160000.0,0.828
160200.0,0.0,160200.0,0.828
160400.0,0.9999993000000004,160400.0,0.828
160600.0,0.0,160600.0,0.0
160800.0,0.0,160800.0,0.0
161000.0,0.0,161000.0,0.0
161200.0,0.0,161200.0,0.0
161400.0,0.0,161400.0,0.0
161600.0,0.9999993000000004,161600.0,0.0
161800.0,0.0,161800.0,0.0
162000.0,0.0,162000.0,0.0
162200.0,0.0,162200.0,0.0
162400.0,0.0,162400.0,0.0
162600.0,0.0,162600.0,0.0
162800.0,0.0,162800.0,0.0
163000.0,0.9999993000000004,163000.0,0.0
163200.0,0.0,163200.0,0.828
163400.0,0.0,163400.0,0.828
163600.0,0.0,163600.0,0.828
163800.0,0.0,163800.0,0.828
164000.0,0.0,164000.0,0.828
164200.0,0.0,164200.0,0.828
164400.0,0.0,164400.0,0.828
164600.0,0.9999993000000004,164600.0,0.828
164800.0,0.0,164800.0,0.828
165000.0,0.0,165000.0,0.828
165200.0,0.0,165200.0,0.828
165400.0,0.0,165400.0,0.828
165600.0,0.0,165600.0,0.828
165800.0,0.0,165800.0,0.828
166000.0,0.0,166000.0,0.828
166200.0,0.0,166200.0,0.828
166400.0,0.0,166400.0,0.828
166600.0,0.0,166600.0,0.828
166800.0,0.0,166800.0,0.0
167000.0,0.0,167000.0,0.0
167200.0,0.0,167200.0,0.0
167400.0,0.0,167400.0,0.0
167600.0,0.0,167600.0,0.0
167800.0,0.0,167800.0,0.0
168000.0,0.0,168000.0,0.0
168200.0,0.0,168200.0,0.0
168400.0,0.0,168400.0,0.0
168600.0,0.0,168600.0,0.0
168800.0,0.0,168800.0,0.0
169000.0,0.0,169000.0,0.0
169200.0,0.0,169200.0,0.0
169400.0,0.0,169400.0,0.828
169600.0,0.0,169600.0,0.828
169800.0,0.0,169800.0,0.828
170000.0,0.0,170000.0,0.828
170200.0,0.0,170200.0,0.828
170400.0,0.0,170400.0,0.828
170600.0,0.0,170600.0,0.828
170800.0,0.0,170800.0,0.828
171000.0,0.0,171000.0,0.828
171200.0,0.0,171200.0,0.828
171400.0,0.0,171400.0,0.828
171600.0,0.0,171600.0,0.828
171800.0,0.9999993000000004,171800.0,0.828
172000.0,0.0,172000.0,0.828
172200.0,0.0,172200.0,0.828
172400.0,0.0,172400.0,0.828
172600.0,0.0,172600.0,0.828
172800.0,0.0,172800.0,0.828
173000.0,0.9999993000000004,173000.0,0.0
173200.0,0.0,173200.0,0.0
173400.0,0.0,173400.0,0.0
173600.0,0.0,173600.0,0.0
173800.0,0.0,173800.0,0.0
174000.0,0.0,174000.0,0.0
174200.0,0.0,174200.0,0.0
174400.0,0.9999993000000004,174400.0,0.0
174600.0,0.0,174600.0,0.0
174800.0,0.0,174800.0,0.0
175000.0,0.0,175000.0,0.0
175200.0,0.0,175200.0,0.0
175400.0,0.0,175400.0,0.828
175600.0,0.0,175600.0,0.828
175800.0,0.0,175800.0,0.828
176000.0,0.9999993000000004,176000.0,0.828
176200.0,0.0,176200.0,0.828
176400.0,0.0,176400.0,0.828
176600.0,0.0,176600.0,0.828
176800.0,0.0,176800.0,0.828
177000.0,0.0,177000.0,0.828
177200.0,0.0,177200.0,0.828
177400.0,0.9999993000000004,177400.0,0.828
177600.0,0.0,177600.0,0.828
177800.0,0.0,177800.0,0.828
178000.0,0.0,178000.0,0.828
178200.0,0.0,178200.0,0.828
178400.0,0.0,178400.0,0.828
178600.0,0.0,178600.0,0.828
178800.0,0.0,178800.0,0.0
179000.0,0.0,179000.0,0.0
179200.0,0.0,179200.0,0.0
179400.0,0.0,179400.0,0.0
179600.0,0.0,179600.0,0.0
179800.0,0.0,179800.0,0.0
180000.0,0.0,180000.0,0.0
180200.0,0.0,180200.0,0.0
180400.0,0.0,180400.0,0.0
180600.0,0.0,180600.0,0.0
180800.0,0.0,180800.0,0.0
181000.0,0.0,181000.0,0.0
181200.0,0.0,181200.0,0.0
181400.0,0.0,181400.0,0.828
181600.0,0.9999993000000004,181600.0,0.828
181800.0,0.0,181800.0,0.828
182000.0,0.0,182000.0,0.828
182200.0,0.0,182200.0,0.828
182400.0,0.0,182400.0,0.828
182600.0,0.0,182600.0,0.828
182800.0,0.0,182800.0,0.828
183000.0,0.0,183000.0,0.828
183200.0,0.0,183200.0,0.828
183400.0,0.0,183400.0,0.828
183600.0,0.0,183600.0,0.828
183800.0,0.0,183800.0,0.828
184000.0,0.0,184000.0,0.828
184200.0,0.0,184200.0,0.828
184400.0,0.0,184400.0,0.828
184600.0,0.0,184600.0,0.0
184800.0,0.0,184800.0,0.0
185000.0,0.0,185000.0,0.0
185200.0,0.0,185200.0,0.0
185400.0,0.0,185400.0,0.0
185600.0,0.0,185600.0,0.0
185800.0,0.0,185800.0,0.0
186000.0,0.0,186000.0,0.0
186200.0,0.0,186200.0,0.0
186400.0,0.0,186400.0,0.0
186600.0,0.0,186600.0,0.0
186800.0,0.0,186800.0,0.0
187000.0,0.0,187000.0,0.0
187200.0,0.9999993000000004,187200.0,0.828
187400.0,0.0,187400.0,0.828
187600.0,0.0,187600.0,0.828
187800.0,0.0,187800.0,0.828
188000.0,0.0,188000.0,0.828
188200.0,0.0,188200.0,0.828
188400.0,0.0,188400.0,0.828
188600.0,0.0,188600.0,0.828
188800.0,0.9999993000000004,188800.0,0.828
189000.0,0.0,189000.0,0.828
189200.0,0.0,189200.0,0.828
189400.0,0.0,189400.0,0.828
189600.0,0.0,189600.0,0.828
189800.0,0.0,189800.0,0.828
190000.0,0.9999993000000004,190000.0,0.828
190200.0,0.0,190200.0,0.828
190400.0,0.0,190400.0,0.0
190600.0,0.0,190600.0,0.0
190800.0,0.0,190800.0,0.0
191000.0,0.0,191000.0,0.0
191200.0,0.0,191200.0,0.0
191400.0,0.9999993000000004,191400.0,0.0
191600.0,0.0,191600.0,0.0
191800.0,0.0,191800.0,0.0
192000.0,0.0,192000.0,0.0
192200.0,0.0,192200.0,0.0
192400.0,0.0,192400.0,0.0
192600.0,0.0,192600.0,0.0
192800.0,0.0,192800.0,0.0
193000.0,0.9999993000000004,193000.0,0.828
193200.0,0.0,193200.0,0.828
193400.0,0.0,193400.0,0.828
193600.0,0.0,193600.0,0.828
193800.0,0.0,193800.0,0.828
194000.0,0.0,194000.0,0.828
194200.0,0.0,194200.0,0.828
194400.0,0.0,194400.0,0.828
194600.0,0.0,194600.0,0.828
194800.0,0.0,194800.0,0.828
195000.0,0.0,195000.0,0.828
195200.0,0.0,195200.0,0.828
195400.0,0.0,195400.0,0.828
195600.0,0.0,195600.0,0.828
195800.0,0.0,195800.0,0.828
196000.0,0.0,196000.0,0.828
196200.0,0.0,196200.0,0.0
196400.0,0.0,196400.0,0.0
196600.0,0.0,196600.0,0.0
196800.0,0.0,196800.0,0.0
197000.0,0.0,197000.0,0.0
197200.0,0.0,197200.0,0.0
197400.0,0.0,197400.0,0.0
197600.0,0.0,197600.0,0.0
197800.0,0.0,197800.0,0.0
198000.0,0.0,198000.0,0.0
198200.0,0.0,198200.0,0.0
198400.0,0.0,198400.0,0.0
198600.0,0.9999993000000004,198600.0,0.0
198800.0,0.0,198800.0,0.828
199000.0,0.0,199000.0,0.828
199200.0,0.0,199200.0,0.828
199400.0,0.0,199400.0,0.828
199600.0,0.0,199600.0,0.828
199800.0,0.0,199800.0,0.828
200000.0,0.0,200000.0,0.828
